track_id,name,artist,album,release_date,popularity,spotify_url,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
7r6iwgXcR85d9rfqsuf2Af,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),Pitbull,Bhool Bhulaiyaa 3 - Title Track (feat. Pitbull),2024-10-16,72,https://open.spotify.com/track/7r6iwgXcR85d9rfqsuf2Af,0.859,0.844,5,-4.609,0,0.0645,0.0917,0.0,0.239,0.605,109.969,audio_features,spotify:track:7r6iwgXcR85d9rfqsuf2Af,https://api.spotify.com/v1/tracks/7r6iwgXcR85d9rfqsuf2Af,https://api.spotify.com/v1/audio-analysis/7r6iwgXcR85d9rfqsuf2Af,230080,4
7EFfeGN5U0zm9C6KpOeNBH,"Aaj Ki Raat (From ""Stree 2"")",Sachin-Jigar,"Aaj Ki Raat (From ""Stree 2"")",2024-07-24,66,https://open.spotify.com/track/7EFfeGN5U0zm9C6KpOeNBH,0.716,0.866,2,-5.306,0,0.0581,0.299,1.26e-05,0.144,0.653,116.025,audio_features,spotify:track:7EFfeGN5U0zm9C6KpOeNBH,https://api.spotify.com/v1/tracks/7EFfeGN5U0zm9C6KpOeNBH,https://api.spotify.com/v1/audio-analysis/7EFfeGN5U0zm9C6KpOeNBH,228621,4
4OV1XWa6OSz4W4oUoRk9A7,FEEL THE NIGHT,Romeo,FEEL THE NIGHT,2024-08-10,37,https://open.spotify.com/track/4OV1XWa6OSz4W4oUoRk9A7,0.938,0.535,6,-8.467,0,0.327,0.149,0.0,0.0871,0.609,96.991,audio_features,spotify:track:4OV1XWa6OSz4W4oUoRk9A7,https://api.spotify.com/v1/tracks/4OV1XWa6OSz4W4oUoRk9A7,https://api.spotify.com/v1/audio-analysis/4OV1XWa6OSz4W4oUoRk9A7,163299,4
2TnmSSPkcPdHYYw2Lu84C1,"Aayi Nai (From ""Stree 2"")",Amitabh Bhattacharya,"Aayi Nai (From ""Stree 2"")",2024-08-01,63,https://open.spotify.com/track/2TnmSSPkcPdHYYw2Lu84C1,0.862,0.645,1,-5.42,0,0.0418,0.589,0.000535,0.077,0.862,122.998,audio_features,spotify:track:2TnmSSPkcPdHYYw2Lu84C1,https://api.spotify.com/v1/tracks/2TnmSSPkcPdHYYw2Lu84C1,https://api.spotify.com/v1/audio-analysis/2TnmSSPkcPdHYYw2Lu84C1,178781,4
762EOieyxliXPV5zURhvcV,Baddie,Ranfateh Shhina,Baddie,2024-10-19,32,https://open.spotify.com/track/762EOieyxliXPV5zURhvcV,0.825,0.446,6,-11.051,1,0.195,0.395,4.11e-05,0.184,0.408,98.022,audio_features,spotify:track:762EOieyxliXPV5zURhvcV,https://api.spotify.com/v1/tracks/762EOieyxliXPV5zURhvcV,https://api.spotify.com/v1/audio-analysis/762EOieyxliXPV5zURhvcV,235102,4
2qBBAuIg8FUBYiJ3QRrVsP,Teri Baaton Mein Aisa Uljha Jiya Title Song,Raghav,Teri Baaton Mein Aisa Uljha Jiya,2024-02-05,66,https://open.spotify.com/track/2qBBAuIg8FUBYiJ3QRrVsP,0.814,0.819,2,-3.585,1,0.0454,0.124,0.000245,0.0496,0.661,96.979,audio_features,spotify:track:2qBBAuIg8FUBYiJ3QRrVsP,https://api.spotify.com/v1/tracks/2qBBAuIg8FUBYiJ3QRrVsP,https://api.spotify.com/v1/audio-analysis/2qBBAuIg8FUBYiJ3QRrVsP,153083,4
2ibipg9GBEZ5YKOdskobJZ,"Laal Peeli Akhiyaan (From ""Teri Baaton Mein Aisa Uljha Jiya"")",Tanishk Bagchi,"Laal Peeli Akhiyaan (From ""Teri Baaton Mein Aisa Uljha Jiya"")",2024-01-12,64,https://open.spotify.com/track/2ibipg9GBEZ5YKOdskobJZ,0.844,0.794,8,-5.943,1,0.0475,0.131,0.000274,0.0525,0.67,129.986,audio_features,spotify:track:2ibipg9GBEZ5YKOdskobJZ,https://api.spotify.com/v1/tracks/2ibipg9GBEZ5YKOdskobJZ,https://api.spotify.com/v1/audio-analysis/2ibipg9GBEZ5YKOdskobJZ,188101,4
23YpzkTDtU78GK6vpgRbkM,"Ishq Jaisa Kuch (From ""Fighter"")",Vishal-Shekhar,"Ishq Jaisa Kuch (From ""Fighter"")",2023-12-22,62,https://open.spotify.com/track/23YpzkTDtU78GK6vpgRbkM,0.736,0.697,1,-7.672,0,0.0416,0.115,1.47e-05,0.149,0.386,104.974,audio_features,spotify:track:23YpzkTDtU78GK6vpgRbkM,https://api.spotify.com/v1/tracks/23YpzkTDtU78GK6vpgRbkM,https://api.spotify.com/v1/audio-analysis/23YpzkTDtU78GK6vpgRbkM,169687,4
5K6Ulyna4f9AOc8cPBiS7n,Ik Chann 2.0,Armaan Sabharwal,Ik Chann 2.0,2024-07-26,35,https://open.spotify.com/track/5K6Ulyna4f9AOc8cPBiS7n,0.613,0.853,8,-6.544,0,0.0598,0.354,0.0,0.125,0.804,170.011,audio_features,spotify:track:5K6Ulyna4f9AOc8cPBiS7n,https://api.spotify.com/v1/tracks/5K6Ulyna4f9AOc8cPBiS7n,https://api.spotify.com/v1/audio-analysis/5K6Ulyna4f9AOc8cPBiS7n,166588,4
0VXBujZKMLLlmee25BXEQs,"Sher Khul Gaye (From ""Fighter"")",Vishal-Shekhar,"Sher Khul Gaye (From ""Fighter"")",2023-12-15,59,https://open.spotify.com/track/0VXBujZKMLLlmee25BXEQs,0.88,0.63,0,-6.719,0,0.0606,0.0219,0.0,0.0663,0.81,123.021,audio_features,spotify:track:0VXBujZKMLLlmee25BXEQs,https://api.spotify.com/v1/tracks/0VXBujZKMLLlmee25BXEQs,https://api.spotify.com/v1/audio-analysis/0VXBujZKMLLlmee25BXEQs,180172,4
1FV3PDNMhj7xxYjfye1a5B,Gypsy 2,G.D. Kaur,Gypsy 2,2024-10-10,55,https://open.spotify.com/track/1FV3PDNMhj7xxYjfye1a5B,0.823,0.842,4,-4.454,0,0.0837,0.516,0.0,0.344,0.6,101.969,audio_features,spotify:track:1FV3PDNMhj7xxYjfye1a5B,https://api.spotify.com/v1/tracks/1FV3PDNMhj7xxYjfye1a5B,https://api.spotify.com/v1/audio-analysis/1FV3PDNMhj7xxYjfye1a5B,164706,4
0bq1DsWLC4glKh9etnmalg,"Not Ramaiya Vastavaiya (From ""Jawan"")",Anirudh Ravichander,"Not Ramaiya Vastavaiya (From ""Jawan"")",2023-08-29,50,https://open.spotify.com/track/0bq1DsWLC4glKh9etnmalg,0.498,0.907,10,-5.165,0,0.0972,0.0387,0.0,0.303,0.215,132.864,audio_features,spotify:track:0bq1DsWLC4glKh9etnmalg,https://api.spotify.com/v1/tracks/0bq1DsWLC4glKh9etnmalg,https://api.spotify.com/v1/audio-analysis/0bq1DsWLC4glKh9etnmalg,202556,4
6UjMPfVjH9IvYGLGO3zNag,Diamonds,DANNY DIORR,Diamonds,2024-07-28,34,https://open.spotify.com/track/6UjMPfVjH9IvYGLGO3zNag,0.805,0.553,7,-8.086,0,0.175,0.883,0.000155,0.102,0.479,98.054,audio_features,spotify:track:6UjMPfVjH9IvYGLGO3zNag,https://api.spotify.com/v1/tracks/6UjMPfVjH9IvYGLGO3zNag,https://api.spotify.com/v1/audio-analysis/6UjMPfVjH9IvYGLGO3zNag,199191,4
4QyX8CBSjcoq4iMZuvifyF,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",Pritam,"What Jhumka ? (From ""Rocky Aur Rani Kii Prem Kahaani"")",2023-07-12,51,https://open.spotify.com/track/4QyX8CBSjcoq4iMZuvifyF,0.821,0.823,2,-5.455,1,0.1,0.235,0.0,0.207,0.479,107.953,audio_features,spotify:track:4QyX8CBSjcoq4iMZuvifyF,https://api.spotify.com/v1/tracks/4QyX8CBSjcoq4iMZuvifyF,https://api.spotify.com/v1/audio-analysis/4QyX8CBSjcoq4iMZuvifyF,213611,4
